ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
3700436,slgdapm,,,Dover Road,,,,Dover Road,,Bath Road,,,,W-bound,,NW,N0072216,Slough Trading Estate,Slough,,,,Slough Trading Estate,,0,U,494832,181000,-0.634601933,51.51997014,BCT,MKD,TIP,,,,50,2003-08-28T00:00:00,2010-04-05T17:19:00,2,rev,act
3700437,slgdapt,,,Burnham Lane,,,,Brook Path,,Bath Road,,,,opp,,W,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,494440,181038,-0.640239848,51.52037731,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2008-05-24T16:39:00,1,rev,act
3700438,slgdapw,,,Everitts Corner,,,,Elmshott Lane,,Bath Road,,,,W-bound,,W,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,494033,180998,-0.646114789,51.52008558,BCT,MKD,OTH,,,,50,2005-09-12T00:00:00,2010-04-05T17:28:00,2,rev,act
3700439,slgdata,,,Chalvey Grove,,,,Chalvey Grove,,Telford Drive,,,,W-bound,,NW,E0041738,Chalvey,Slough,,Slough,,Chalvey,,0,U,495924,179513,-0.619272224,51.50641958,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2014-06-05T09:26:11,5,rev,del
3700398,slgdaga,,,Canterbury Avenue,,,,Canterbury Avenue,,Essex Avenue,,,,E-bound,,E,E0041745,Manor Park,Slough,,Slough,,Manor Park,,0,U,496467,181946,-0.610785732,51.52819699,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T16:39:00,1,rev,act
3700276,slgatgd,,,Raleigh Close,,,,Raleigh Close,,Telford Drive,,,,adj,,NE,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,495309,180034,-0.627990052,51.51120671,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T21:43:00,2,rev,act
3700277,slgatgj,,,Raleigh Close,,,,Raleigh Close,,Telford Drive,,,,opp,,SW,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,495415,180087,-0.626448738,51.51166525,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T21:42:00,2,rev,act
3700280,slgatgm,,,Bentley Road,,,,Bentley Drive,,Cippenham Lane,,,,opp,,SE,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,495148,180404,-0.630209605,51.5145597,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2014-06-05T09:24:00,2,rev,del
3700281,slgatgp,,,Bentley Road,,,,Bentley Drive,,Cippenham Lane,,,,nr,,NW,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,495158,180379,-0.63007228,51.51433329,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2014-06-05T09:24:18,3,rev,del
3700282,slgatgt,,,Westgate School,,,,Richards Way,,Cippenham Lane,,,,nr,,SE,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,495295,180282,-0.628124774,51.51343831,BCT,MKD,OTH,,,,50,2004-05-19T00:00:00,2014-06-05T09:24:34,2,rev,del
3700231,slgapjt,,,Doddsfield Road,,,,Elmar Green,,Doddsfield Road,,,,o/s 80,,E,E0053685,Britwell,Slough,,Slough,,Britwell,,0,U,495414,182928,-0.625694626,51.53720271,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2008-03-24T12:59:00,1,rev,act
3700232,slgapjw,,,Kidderminster Road,,,,Kidderminster Road,,Doddsfield Road,,,,adj,,E,E0053685,Britwell,Slough,,Slough,,Britwell,,0,U,495186,182933,-0.628979613,51.5372861,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T18:06:00,3,rev,act
3700233,slgapma,,,Kidderminster Road,,,,Kidderminster Road,,Doddsfield Road,,,,opp,,W,E0053685,Britwell,Slough,,Slough,,Britwell,,0,U,495119,182924,-0.629947766,51.53721648,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T18:06:00,3,rev,act
3700234,slgapmd,,,Ex Servicemen's Club,,,,Ex Servicemens Club,,Wentworth Avenue,,,,o/s,,S,E0053685,Britwell,Slough,,Slough,,Britwell,,0,U,495094,182825,-0.63033482,51.53633079,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2014-12-19T08:40:15,3,rev,del
3700441,slgadgt,,,Scafell Road Bungalows,,,,Northmead Road,,Scafell Road,,,,opp,,S,E0053685,Britwell,Slough,,Slough,,Britwell,,0,U,494666,182023,-0.63671916,51.52919357,BCT,CUS,OTH,,,,50,2003-08-28T00:00:00,2016-08-15T15:23:24,2,rev,act
3700350,slgawja,,,Montague Road,,,,Montague Road,,Stoke Road,,,,nr,,N,N0072214,Elliman,Slough,,Slough,,Upton Lea,,0,U,497870,180663,-0.590923464,51.51642334,BCT,MKD,OTH,,,,50,2004-02-09T00:00:00,2010-06-24T07:46:00,4,rev,act
3700351,slgawjd,,,Shaggy Calf Lane,en,,,Shaggy Calf Lane,en,Stoke Road,en,,,adj,en,S,N0072214,Elliman,Slough,,,,,,0,U,497939,180789,-0.589894411,51.51754397,BCT,MKD,OTH,,,,50,2004-02-09T00:00:00,2010-07-28T00:00:00,4,rev,act
3700352,slgawjg,,,Shaggy Calf Lane,en,,,Shaggy Calf Lane,en,Stoke Road,en,,,nr,en,N,N0072214,Elliman,Slough,,,,,,0,U,497941,180896,-0.589835896,51.51850542,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-07-28T00:00:00,4,rev,act
3700356,slgawjm,,,St Andrews Way,,,,St Andrews Way,,Bath Road,,,,opp,,E,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,493822,181013,-0.649150989,51.52025546,BCT,MKD,TIP,,,,50,2003-08-28T00:00:00,2010-04-05T20:43:00,2,rev,act
3700357,slgawjp,,,Everitts Corner,,,,Station Road Burnham,,Bath Road,,,,E-bound,,E,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,494163,180980,-0.644246494,51.51990215,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T17:28:00,1,rev,act
3700358,slgawjt,,,Burnham Lane,,,,Brook Path,,Bath Road,,,,nr,,E,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,U,494486,181066,-0.639569558,51.52062132,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2008-05-24T16:39:00,1,rev,act
3700366,slgawjw,,,Berkshire Avenue,,,,Berkshire Avenue,,Bestobell Road,,,,opp,,S,N0072216,Slough Trading Estate,Slough,,Slough,,Slough Trading Estate,,0,U,496067,181223,-0.616746992,51.5217662,BCT,MKD,OTH,,,,50,2004-08-03T00:00:00,2010-04-05T16:18:00,2,rev,act
3700367,slgawma,,,Berkshire Avenue,en,,,Edinburgh Avenue,en,Bestobell Road,en,,,adj,en,N,N0072216,Slough Trading Estate,Slough,,,,,,0,U,496052,181272,-0.616949783,51.5222092,BCT,MKD,OTH,,,,50,2004-08-03T00:00:00,2010-07-15T00:00:00,3,rev,act
